s.id,s
"""2131""","{ef: ""f"", gi: 20, parity: ""-"", g: -0.182019, tau: 5602.6, J: 4.5, Omega: -0.5, v: 0, Epsilon: -0.5, id: ""2131"", state: ""X2Sigma+"", Lambda: 0, energy: 11.6414}"
"""2132""","{ef: ""f"", gi: 20, parity: ""-"", g: -0.182019, tau: 0.052132, J: 4.5, Omega: -0.5, v: 1, Epsilon: -0.5, id: ""2132"", state: ""X2Sigma+"", Lambda: 0, energy: 867.3358}"
"""2151""","{ef: ""f"", gi: 20, parity: ""-"", g: 0.301326, tau: 0.084782, J: 4.5, Omega: -2.5, v: 0, Epsilon: -0.5, id: ""2151"", state: ""Ap2Delta"", Lambda: -2, energy: 14860.134404}"
"""2159""","{ef: ""f"", gi: 20, parity: ""-"", g: 0.119375, tau: 3.2732e-8, J: 4.5, Omega: -1.5, v: 0, Epsilon: -0.5, id: ""2159"", state: ""A2Pi"", Lambda: -1, energy: 16732.24971}"
"""2401""","{ef: ""f"", gi: 24, parity: ""+"", g: -0.154016, tau: 3195.0, J: 5.5, Omega: 0.5, v: 0, Epsilon: 0.5, id: ""2401"", state: ""X2Sigma+"", Lambda: 0, energy: 16.2977}"
"""2402""","{ef: ""f"", gi: 24, parity: ""+"", g: -0.154016, tau: 0.052142, J: 5.5, Omega: 0.5, v: 1, Epsilon: 0.5, id: ""2402"", state: ""X2Sigma+"", Lambda: 0, energy: 871.9715}"
"""2403""","{ef: ""f"", gi: 24, parity: ""+"", g: -0.154016, tau: 0.026327, J: 5.5, Omega: 0.5, v: 2, Epsilon: 0.5, id: ""2403"", state: ""X2Sigma+"", Lambda: 0, energy: 1721.9867}"
"""2404""","{ef: ""f"", gi: 24, parity: ""+"", g: -0.154017, tau: 0.017724, J: 5.5, Omega: 0.5, v: 3, Epsilon: 0.5, id: ""2404"", state: ""X2Sigma+"", Lambda: 0, energy: 2566.3484}"
"""2421""","{ef: ""f"", gi: 24, parity: ""+"", g: 0.207951, tau: 0.055652, J: 5.5, Omega: 2.5, v: 0, Epsilon: 0.5, id: ""2421"", state: ""Ap2Delta"", Lambda: 2, energy: 14864.27937}"
"""2429""","{ef: ""f"", gi: 24, parity: ""+"", g: 0.08204, tau: 3.2733e-8, J: 5.5, Omega: 1.5, v: 0, Epsilon: 0.5, id: ""2429"", state: ""A2Pi"", Lambda: 1, energy: 16736.497161}"
"""2671""","{ef: ""e"", gi: 24, parity: ""-"", g: 0.182019, tau: 5860.6, J: 5.5, Omega: -0.5, v: 0, Epsilon: -0.5, id: ""2671"", state: ""X2Sigma+"", Lambda: 0, energy: 11.6414}"
"""2672""","{ef: ""e"", gi: 24, parity: ""-"", g: 0.182019, tau: 0.052107, J: 5.5, Omega: -0.5, v: 1, Epsilon: -0.5, id: ""2672"", state: ""X2Sigma+"", Lambda: 0, energy: 867.3358}"
"""2691""","{ef: ""e"", gi: 24, parity: ""-"", g: 0.207951, tau: 0.055652, J: 5.5, Omega: -2.5, v: 0, Epsilon: -0.5, id: ""2691"", state: ""Ap2Delta"", Lambda: -2, energy: 14864.27937}"
"""2699""","{ef: ""e"", gi: 24, parity: ""-"", g: 0.082032, tau: 3.2733e-8, J: 5.5, Omega: -1.5, v: 0, Epsilon: -0.5, id: ""2699"", state: ""A2Pi"", Lambda: -1, energy: 16736.497225}"
"""2941""","{ef: ""e"", gi: 28, parity: ""+"", g: 0.154016, tau: 3340.3, J: 6.5, Omega: 0.5, v: 0, Epsilon: 0.5, id: ""2941"", state: ""X2Sigma+"", Lambda: 0, energy: 16.2977}"
"""2942""","{ef: ""e"", gi: 28, parity: ""+"", g: 0.154016, tau: 0.05211, J: 6.5, Omega: 0.5, v: 1, Epsilon: 0.5, id: ""2942"", state: ""X2Sigma+"", Lambda: 0, energy: 871.9715}"
"""2961""","{ef: ""e"", gi: 28, parity: ""+"", g: 0.151925, tau: 0.039584, J: 6.5, Omega: 2.5, v: 0, Epsilon: 0.5, id: ""2961"", state: ""Ap2Delta"", Lambda: 2, energy: 14869.17786}"
"""2969""","{ef: ""e"", gi: 28, parity: ""+"", g: 0.05963, tau: 3.2734e-8, J: 6.5, Omega: 1.5, v: 0, Epsilon: 0.5, id: ""2969"", state: ""A2Pi"", Lambda: 1, energy: 16741.516867}"
"""3""","{ef: ""e"", gi: 4, parity: ""+"", g: 2.002206, tau: 0.026308, J: 0.5, Omega: 0.5, v: 2, Epsilon: 0.5, id: ""3"", state: ""X2Sigma+"", Lambda: 0, energy: 1705.8339}"
"""301""","{ef: ""f"", gi: 8, parity: ""+"", g: -0.400443, tau: 98980.0, J: 1.5, Omega: 0.5, v: 0, Epsilon: 0.5, id: ""301"", state: ""X2Sigma+"", Lambda: 0, energy: 2.3283}"
"""302""","{ef: ""f"", gi: 8, parity: ""+"", g: -0.400443, tau: 0.052113, J: 1.5, Omega: 0.5, v: 1, Epsilon: 0.5, id: ""302"", state: ""X2Sigma+"", Lambda: 0, energy: 858.0643}"
"""303""","{ef: ""f"", gi: 8, parity: ""+"", g: -0.400444, tau: 0.026313, J: 1.5, Omega: 0.5, v: 2, Epsilon: 0.5, id: ""303"", state: ""X2Sigma+"", Lambda: 0, energy: 1708.1415}"
"""304""","{ef: ""f"", gi: 8, parity: ""+"", g: -0.400444, tau: 0.017714, J: 1.5, Omega: 0.5, v: 3, Epsilon: 0.5, id: ""304"", state: ""X2Sigma+"", Lambda: 0, energy: 2552.5656}"
"""3211""","{ef: ""f"", gi: 28, parity: ""-"", g: -0.133481, tau: 1990.7, J: 6.5, Omega: -0.5, v: 0, Epsilon: -0.5, id: ""3211"", state: ""X2Sigma+"", Lambda: 0, energy: 21.7301}"
"""3212""","{ef: ""f"", gi: 28, parity: ""-"", g: -0.133481, tau: 0.05215, J: 6.5, Omega: -0.5, v: 1, Epsilon: -0.5, id: ""3212"", state: ""X2Sigma+"", Lambda: 0, energy: 877.378399}"
"""3213""","{ef: ""f"", gi: 28, parity: ""-"", g: -0.133481, tau: 0.026331, J: 6.5, Omega: -0.5, v: 2, Epsilon: -0.5, id: ""3213"", state: ""X2Sigma+"", Lambda: 0, energy: 1727.3708}"
"""3214""","{ef: ""f"", gi: 28, parity: ""-"", g: -0.133481, tau: 0.017727, J: 6.5, Omega: -0.5, v: 3, Epsilon: -0.5, id: ""3214"", state: ""X2Sigma+"", Lambda: 0, energy: 2571.7082}"
"""3231""","{ef: ""f"", gi: 28, parity: ""-"", g: 0.151925, tau: 0.039584, J: 6.5, Omega: -2.5, v: 0, Epsilon: -0.5, id: ""3231"", state: ""Ap2Delta"", Lambda: -2, energy: 14869.17786}"
"""3239""","{ef: ""f"", gi: 28, parity: ""-"", g: 0.059639, tau: 3.2734e-8, J: 6.5, Omega: -1.5, v: 0, Epsilon: -0.5, id: ""3239"", state: ""A2Pi"", Lambda: -1, energy: 16741.516765}"
"""326""","{ef: ""f"", gi: 8, parity: ""+"", g: 0.798885, tau: 3.273e-8, J: 1.5, Omega: 1.5, v: 0, Epsilon: 0.5, id: ""326"", state: ""A2Pi"", Lambda: 1, energy: 16724.140703}"
"""3267""","{ef: ""f"", gi: 28, parity: ""-"", g: -0.133055, tau: 3.0737e-8, J: 6.5, Omega: -0.5, v: 0, Epsilon: -0.5, id: ""3267"", state: ""B2Sigma"", Lambda: 0, energy: 20763.08073}"
"""34""","{ef: ""e"", gi: 4, parity: ""+"", g: 1.995791, tau: 3.073e-8, J: 0.5, Omega: 0.5, v: 0, Epsilon: 0.5, id: ""34"", state: ""B2Sigma"", Lambda: 0, energy: 20741.6877}"
"""3481""","{ef: ""f"", gi: 32, parity: ""+"", g: -0.117777, tau: 1322.9, J: 7.5, Omega: 0.5, v: 0, Epsilon: 0.5, id: ""3481"", state: ""X2Sigma+"", Lambda: 0, energy: 27.9383}"
"""3482""","{ef: ""f"", gi: 32, parity: ""+"", g: -0.117777, tau: 0.05216, J: 7.5, Omega: 0.5, v: 1, Epsilon: 0.5, id: ""3482"", state: ""X2Sigma+"", Lambda: 0, energy: 883.5602}"
"""3483""","{ef: ""f"", gi: 32, parity: ""+"", g: -0.117777, tau: 0.026336, J: 7.5, Omega: 0.5, v: 2, Epsilon: 0.5, id: ""3483"", state: ""X2Sigma+"", Lambda: 0, energy: 1733.5238}"
"""3484""","{ef: ""f"", gi: 32, parity: ""+"", g: -0.117777, tau: 0.01773, J: 7.5, Omega: 0.5, v: 3, Epsilon: 0.5, id: ""3484"", state: ""X2Sigma+"", Lambda: 0, energy: 2577.817389}"
"""3501""","{ef: ""f"", gi: 32, parity: ""+"", g: 0.115674, tau: 0.029696, J: 7.5, Omega: 2.5, v: 0, Epsilon: 0.5, id: ""3501"", state: ""Ap2Delta"", Lambda: 2, energy: 14874.829822}"
"""3509""","{ef: ""f"", gi: 32, parity: ""+"", g: 0.045145, tau: 3.2735e-8, J: 7.5, Omega: 1.5, v: 0, Epsilon: 0.5, id: ""3509"", state: ""A2Pi"", Lambda: 1, energy: 16747.308468}"
"""3537""","{ef: ""f"", gi: 32, parity: ""+"", g: -0.117402, tau: 3.0739e-8, J: 7.5, Omega: 0.5, v: 0, Epsilon: 0.5, id: ""3537"", state: ""B2Sigma"", Lambda: 0, energy: 20769.09176}"
"""3751""","{ef: ""e"", gi: 32, parity: ""-"", g: 0.133481, tau: 2080.5, J: 7.5, Omega: -0.5, v: 0, Epsilon: -0.5, id: ""3751"", state: ""X2Sigma+"", Lambda: 0, energy: 21.7301}"
"""3752""","{ef: ""e"", gi: 32, parity: ""-"", g: 0.133481, tau: 0.052114, J: 7.5, Omega: -0.5, v: 1, Epsilon: -0.5, id: ""3752"", state: ""X2Sigma+"", Lambda: 0, energy: 877.3796}"
"""3771""","{ef: ""e"", gi: 32, parity: ""-"", g: 0.115674, tau: 0.029695, J: 7.5, Omega: -2.5, v: 0, Epsilon: -0.5, id: ""3771"", state: ""Ap2Delta"", Lambda: -2, energy: 14874.829822}"
"""3779""","{ef: ""e"", gi: 32, parity: ""-"", g: 0.045135, tau: 3.2734e-8, J: 7.5, Omega: -1.5, v: 0, Epsilon: -0.5, id: ""3779"", state: ""A2Pi"", Lambda: -1, energy: 16747.308622}"
"""4""","{ef: ""e"", gi: 4, parity: ""+"", g: 2.002207, tau: 0.017711, J: 0.5, Omega: 0.5, v: 3, Epsilon: 0.5, id: ""4"", state: ""X2Sigma+"", Lambda: 0, energy: 2550.2684}"
"""4021""","{ef: ""e"", gi: 36, parity: ""+"", g: 0.117777, tau: 1382.2, J: 8.5, Omega: 0.5, v: 0, Epsilon: 0.5, id: ""4021"", state: ""X2Sigma+"", Lambda: 0, energy: 27.9383}"
"""4022""","{ef: ""e"", gi: 36, parity: ""+"", g: 0.117777, tau: 0.052119, J: 8.5, Omega: 0.5, v: 1, Epsilon: 0.5, id: ""4022"", state: ""X2Sigma+"", Lambda: 0, energy: 883.5602}"
"""4041""","{ef: ""e"", gi: 36, parity: ""+"", g: 0.09087, tau: 0.023145, J: 8.5, Omega: 2.5, v: 0, Epsilon: 0.5, id: ""4041"", state: ""Ap2Delta"", Lambda: 2, energy: 14881.235195}"
"""4049""","{ef: ""e"", gi: 36, parity: ""+"", g: 0.035217, tau: 3.2736e-8, J: 8.5, Omega: 1.5, v: 0, Epsilon: 0.5, id: ""4049"", state: ""A2Pi"", Lambda: 1, energy: 16753.872429}"
"""4291""","{ef: ""f"", gi: 36, parity: ""-"", g: -0.10538, tau: 923.26, J: 8.5, Omega: -0.5, v: 0, Epsilon: -0.5, id: ""4291"", state: ""X2Sigma+"", Lambda: 0, energy: 34.9224}"
"""4292""","{ef: ""f"", gi: 36, parity: ""-"", g: -0.10538, tau: 0.052171, J: 8.5, Omega: -0.5, v: 1, Epsilon: -0.5, id: ""4292"", state: ""X2Sigma+"", Lambda: 0, energy: 890.5132}"
"""4293""","{ef: ""f"", gi: 36, parity: ""-"", g: -0.10538, tau: 0.026342, J: 8.5, Omega: -0.5, v: 2, Epsilon: -0.5, id: ""4293"", state: ""X2Sigma+"", Lambda: 0, energy: 1740.4457}"
"""4294""","{ef: ""f"", gi: 36, parity: ""-"", g: -0.10538, tau: 0.017734, J: 8.5, Omega: -0.5, v: 3, Epsilon: -0.5, id: ""4294"", state: ""X2Sigma+"", Lambda: 0, energy: 2584.7242}"
"""4311""","{ef: ""f"", gi: 36, parity: ""-"", g: 0.09087, tau: 0.023146, J: 8.5, Omega: -2.5, v: 0, Epsilon: -0.5, id: ""4311"", state: ""Ap2Delta"", Lambda: -2, energy: 14881.235195}"
"""4319""","{ef: ""f"", gi: 36, parity: ""-"", g: 0.035228, tau: 3.2737e-8, J: 8.5, Omega: -1.5, v: 0, Epsilon: -0.5, id: ""4319"", state: ""A2Pi"", Lambda: -1, energy: 16753.872209}"
"""4347""","{ef: ""f"", gi: 36, parity: ""-"", g: -0.105044, tau: 3.074e-8, J: 8.5, Omega: -0.5, v: 0, Epsilon: -0.5, id: ""4347"", state: ""B2Sigma"", Lambda: 0, energy: 20775.85938}"
"""4561""","{ef: ""f"", gi: 40, parity: ""+"", g: -0.095343, tau: 669.63, J: 9.5, Omega: 0.5, v: 0, Epsilon: 0.5, id: ""4561"", state: ""X2Sigma+"", Lambda: 0, energy: 42.6822}"
"""4562""","{ef: ""f"", gi: 40, parity: ""+"", g: -0.095343, tau: 0.052181, J: 9.5, Omega: 0.5, v: 1, Epsilon: 0.5, id: ""4562"", state: ""X2Sigma+"", Lambda: 0, energy: 898.2384}"
"""4563""","{ef: ""f"", gi: 40, parity: ""+"", g: -0.095343, tau: 0.026348, J: 9.5, Omega: 0.5, v: 2, Epsilon: 0.5, id: ""4563"", state: ""X2Sigma+"", Lambda: 0, energy: 1748.1365}"
"""4564""","{ef: ""f"", gi: 40, parity: ""+"", g: -0.095344, tau: 0.017738, J: 9.5, Omega: 0.5, v: 3, Epsilon: 0.5, id: ""4564"", state: ""X2Sigma+"", Lambda: 0, energy: 2592.3803}"
"""4581""","{ef: ""f"", gi: 40, parity: ""+"", g: 0.073153, tau: 0.01857, J: 9.5, Omega: 2.5, v: 0, Epsilon: 0.5, id: ""4581"", state: ""Ap2Delta"", Lambda: 2, energy: 14888.393909}"
"""4589""","{ef: ""f"", gi: 40, parity: ""+"", g: 0.028145, tau: 3.2737e-8, J: 9.5, Omega: 1.5, v: 0, Epsilon: 0.5, id: ""4589"", state: ""A2Pi"", Lambda: 1, energy: 16761.207915}"
"""4617""","{ef: ""f"", gi: 40, parity: ""+"", g: -0.095039, tau: 3.0741e-8, J: 9.5, Omega: 0.5, v: 0, Epsilon: 0.5, id: ""4617"", state: ""B2Sigma"", Lambda: 0, energy: 20783.37506}"
"""4831""","{ef: ""e"", gi: 40, parity: ""-"", g: 0.105379, tau: 964.41, J: 9.5, Omega: -0.5, v: 0, Epsilon: -0.5, id: ""4831"", state: ""X2Sigma+"", Lambda: 0, energy: 34.9224}"
"""4832""","{ef: ""e"", gi: 40, parity: ""-"", g: 0.105379, tau: 0.052125, J: 9.5, Omega: -0.5, v: 1, Epsilon: -0.5, id: ""4832"", state: ""X2Sigma+"", Lambda: 0, energy: 890.5132}"
"""4851""","{ef: ""e"", gi: 40, parity: ""-"", g: 0.073153, tau: 0.01857, J: 9.5, Omega: -2.5, v: 0, Epsilon: -0.5, id: ""4851"", state: ""Ap2Delta"", Lambda: -2, energy: 14888.393909}"
"""4859""","{ef: ""e"", gi: 40, parity: ""-"", g: 0.028132, tau: 3.2738e-8, J: 9.5, Omega: -1.5, v: 0, Epsilon: -0.5, id: ""4859"", state: ""A2Pi"", Lambda: -1, energy: 16761.208218}"
"""5101""","{ef: ""e"", gi: 44, parity: ""+"", g: 0.095343, tau: 699.35, J: 10.5, Omega: 0.5, v: 0, Epsilon: 0.5, id: ""5101"", state: ""X2Sigma+"", Lambda: 0, energy: 42.6822}"
"""5102""","{ef: ""e"", gi: 44, parity: ""+"", g: 0.095343, tau: 0.052131, J: 10.5, Omega: 0.5, v: 1, Epsilon: 0.5, id: ""5102"", state: ""X2Sigma+"", Lambda: 0, energy: 898.2384}"
"""5121""","{ef: ""e"", gi: 44, parity: ""+"", g: 0.060058, tau: 0.015242, J: 10.5, Omega: 2.5, v: 0, Epsilon: 0.5, id: ""5121"", state: ""Ap2Delta"", Lambda: 2, energy: 14896.305888}"
"""5129""","{ef: ""e"", gi: 44, parity: ""+"", g: 0.022895, tau: 3.2739e-8, J: 10.5, Omega: 1.5, v: 0, Epsilon: 0.5, id: ""5129"", state: ""A2Pi"", Lambda: 1, energy: 16769.315912}"
"""5371""","{ef: ""f"", gi: 44, parity: ""-"", g: -0.087053, tau: 501.0, J: 10.5, Omega: -0.5, v: 0, Epsilon: -0.5, id: ""5371"", state: ""X2Sigma+"", Lambda: 0, energy: 51.2177}"
"""5372""","{ef: ""f"", gi: 44, parity: ""-"", g: -0.087053, tau: 0.052193, J: 10.5, Omega: -0.5, v: 1, Epsilon: -0.5, id: ""5372"", state: ""X2Sigma+"", Lambda: 0, energy: 906.7359}"
"""5373""","{ef: ""f"", gi: 44, parity: ""-"", g: -0.087053, tau: 0.026354, J: 10.5, Omega: -0.5, v: 2, Epsilon: -0.5, id: ""5373"", state: ""X2Sigma+"", Lambda: 0, energy: 1756.5961}"
"""5374""","{ef: ""f"", gi: 44, parity: ""-"", g: -0.087053, tau: 0.017742, J: 10.5, Omega: -0.5, v: 3, Epsilon: -0.5, id: ""5374"", state: ""X2Sigma+"", Lambda: 0, energy: 2600.8017}"
"""5391""","{ef: ""f"", gi: 44, parity: ""-"", g: 0.060058, tau: 0.015242, J: 10.5, Omega: -2.5, v: 0, Epsilon: -0.5, id: ""5391"", state: ""Ap2Delta"", Lambda: -2, energy: 14896.305888}"
"""5399""","{ef: ""f"", gi: 44, parity: ""-"", g: 0.02291, tau: 3.2738e-8, J: 10.5, Omega: -1.5, v: 0, Epsilon: -0.5, id: ""5399"", state: ""A2Pi"", Lambda: -1, energy: 16769.315509}"
"""541""","{ef: ""e"", gi: 8, parity: ""-"", g: 0.667402, tau: 997510.0, J: 1.5, Omega: -0.5, v: 0, Epsilon: -0.5, id: ""541"", state: ""X2Sigma+"", Lambda: 0, energy: 0.7761}"
"""542""","{ef: ""e"", gi: 8, parity: ""-"", g: 0.667402, tau: 0.052102, J: 1.5, Omega: -0.5, v: 1, Epsilon: -0.5, id: ""542"", state: ""X2Sigma+"", Lambda: 0, energy: 856.519}"
"""5427""","{ef: ""f"", gi: 44, parity: ""-"", g: -0.086775, tau: 3.0743e-8, J: 10.5, Omega: -0.5, v: 0, Epsilon: -0.5, id: ""5427"", state: ""B2Sigma"", Lambda: 0, energy: 20791.62695}"
"""543""","{ef: ""e"", gi: 8, parity: ""-"", g: 0.667403, tau: 0.026307, J: 1.5, Omega: -0.5, v: 2, Epsilon: -0.5, id: ""543"", state: ""X2Sigma+"", Lambda: 0, energy: 1706.6031}"
