s.id,s
"""1""","{ef: ""e"", gi: 4, parity: ""+"", g: 2.002204, tau: 1000, J: 0.5, Omega: 0.5, v: 0, Epsilon: 0.5, id: ""1"", state: ""X2Sigma+"", Lambda: 0, energy: 0.0}"
"""1051""","{ef: ""f"", gi: 12, parity: ""-"", g: -0.286031, tau: 27448.0, J: 2.5, Omega: -0.5, v: 0, Epsilon: -0.5, id: ""1051"", state: ""X2Sigma+"", Lambda: 0, energy: 4.6566}"
"""1071""","{ef: ""f"", gi: 12, parity: ""-"", g: 0.856246, tau: 0.3557, J: 2.5, Omega: -2.5, v: 0, Epsilon: -0.5, id: ""1071"", state: ""Ap2Delta"", Lambda: -2, energy: 14854.105216}"
"""151""","{ef: ""f"", gi: 4, parity: ""-"", g: -0.66741, tau: 942950.0, J: 0.5, Omega: -0.5, v: 0, Epsilon: -0.5, id: ""151"", state: ""X2Sigma+"", Lambda: 0, energy: 0.7761}"
"""152""","{ef: ""f"", gi: 4, parity: ""-"", g: -0.66741, tau: 0.05211, J: 0.5, Omega: -0.5, v: 1, Epsilon: -0.5, id: ""152"", state: ""X2Sigma+"", Lambda: 0, energy: 856.519}"
"""153""","{ef: ""f"", gi: 4, parity: ""-"", g: -0.66741, tau: 0.026311, J: 0.5, Omega: -0.5, v: 2, Epsilon: -0.5, id: ""153"", state: ""X2Sigma+"", Lambda: 0, energy: 1706.6031}"
"""184""","{ef: ""f"", gi: 4, parity: ""-"", g: -0.665291, tau: 3.0731e-8, J: 0.5, Omega: -0.5, v: 0, Epsilon: -0.5, id: ""184"", state: ""B2Sigma"", Lambda: 0, energy: 20742.5775}"
"""2""","{ef: ""e"", gi: 4, parity: ""+"", g: 2.002205, tau: 0.052103, J: 0.5, Omega: 0.5, v: 1, Epsilon: 0.5, id: ""2"", state: ""X2Sigma+"", Lambda: 0, energy: 855.7463}"
"""3""","{ef: ""e"", gi: 4, parity: ""+"", g: 2.002206, tau: 0.026308, J: 0.5, Omega: 0.5, v: 2, Epsilon: 0.5, id: ""3"", state: ""X2Sigma+"", Lambda: 0, energy: 1705.8339}"
"""301""","{ef: ""f"", gi: 8, parity: ""+"", g: -0.400443, tau: 98980.0, J: 1.5, Omega: 0.5, v: 0, Epsilon: 0.5, id: ""301"", state: ""X2Sigma+"", Lambda: 0, energy: 2.3283}"
