s.id,s
118,"{degeneracy: 22, Fef: ""F2f"", v: 1, el_state: ""X"", tau: 0.0037057912994690706, J: 5, id: 118, N: 5, energy: 3427.1434}"
119,"{degeneracy: 22, Fef: ""F3e"", v: 1, el_state: ""X"", tau: 0.0037497855460148378, J: 5, id: 119, N: 6, energy: 3612.434303}"
141,"{degeneracy: 26, Fef: ""F1e"", v: 0, el_state: ""X"", tau: 1000, J: 6, id: 141, N: 5, energy: 489.6909}"
142,"{degeneracy: 26, Fef: ""F2f"", v: 0, el_state: ""X"", tau: 1000, J: 6, id: 142, N: 6, energy: 688.0022}"
143,"{degeneracy: 26, Fef: ""F3e"", v: 0, el_state: ""X"", tau: 1000, J: 6, id: 143, N: 7, energy: 914.052}"
144,"{degeneracy: 26, Fef: ""F1e"", v: 1, el_state: ""X"", tau: 0.0036967168007870205, J: 6, id: 144, N: 5, energy: 3424.289197}"
145,"{degeneracy: 26, Fef: ""F2f"", v: 1, el_state: ""X"", tau: 0.003745607338993195, J: 6, id: 145, N: 6, energy: 3613.874003}"
146,"{degeneracy: 26, Fef: ""F3e"", v: 1, el_state: ""X"", tau: 0.003798194156640397, J: 6, id: 146, N: 7, energy: 3829.7824}"
168,"{degeneracy: 30, Fef: ""F1e"", v: 0, el_state: ""X"", tau: 1000, J: 7, id: 168, N: 6, energy: 684.9426}"
169,"{degeneracy: 30, Fef: ""F2f"", v: 0, el_state: ""X"", tau: 1000, J: 7, id: 169, N: 7, energy: 915.2992}"
170,"{degeneracy: 30, Fef: ""F3e"", v: 0, el_state: ""X"", tau: 1000, J: 7, id: 170, N: 8, energy: 1173.0761}"
171,"{degeneracy: 30, Fef: ""F1e"", v: 1, el_state: ""X"", tau: 0.0037355090354460794, J: 7, id: 171, N: 6, energy: 3610.855903}"
172,"{degeneracy: 30, Fef: ""F2f"", v: 1, el_state: ""X"", tau: 0.0037928684212223127, J: 7, id: 172, N: 7, energy: 3831.0508}"
173,"{degeneracy: 30, Fef: ""F3e"", v: 1, el_state: ""X"", tau: 0.0038544543052790475, J: 7, id: 173, N: 8, energy: 4077.258903}"
195,"{degeneracy: 34, Fef: ""F1e"", v: 0, el_state: ""X"", tau: 1000, J: 8, id: 195, N: 7, energy: 912.077}"
196,"{degeneracy: 34, Fef: ""F2f"", v: 0, el_state: ""X"", tau: 1000, J: 8, id: 196, N: 8, energy: 1174.1559}"
197,"{degeneracy: 34, Fef: ""F3e"", v: 0, el_state: ""X"", tau: 1000, J: 8, id: 197, N: 9, energy: 1463.2929}"
198,"{degeneracy: 34, Fef: ""F1e"", v: 1, el_state: ""X"", tau: 0.0037814511588439527, J: 8, id: 198, N: 7, energy: 3827.8747}"
200,"{degeneracy: 34, Fef: ""F3e"", v: 1, el_state: ""X"", tau: 0.003918444407162449, J: 8, id: 200, N: 9, energy: 4354.514905}"
222,"{degeneracy: 38, Fef: ""F1e"", v: 0, el_state: ""X"", tau: 1000, J: 9, id: 222, N: 8, energy: 1170.7755}"
224,"{degeneracy: 38, Fef: ""F3e"", v: 0, el_state: ""X"", tau: 1000, J: 9, id: 224, N: 10, energy: 1784.3008}"
