S1_id,S0_id,s2_id_list,T_init,num_decays,inv_R_us,n_cool,t_cool_ms,n_cool/n10,closure,t_cool_ms_4K,n_cool_n10_ratio_4K,lambda_list_nm,BR_list
7,11,"[11, 14, 17]",21.5,3,11.205,3260.0,37.0,0.08087743673451414,0.99994287,16.0,0.034858724127517206,"[356.96, 399.05, 449.2]","[0.866892, 0.126746, 0.006305]"
2,10,"[10, 12]",4.0,2,10833.063,13261.0,143657.0,0.0,1.0,143657.0,0.0,"[3349.82, 3463.02]","[0.376088, 0.623912]"
14,10,"[10, 12, 34]",4.0,3,14457.866,13267.0,191817.0,0.0,1.0,191817.0,0.0,"[3345.21, 3458.08, 3461.09]","[0.3326, 0.164267, 0.503134]"
13,1,"[1, 33, 11]",18.9,3,14421.799,28871.0,416368.0,0.5836305998315104,0.99995345,191301.0,0.26815015247558616,"[3417.6, 3420.04, 3422.43]","[0.108906, 0.581631, 0.309416]"
13,33,"[1, 33, 11]",20.3,3,14421.799,29850.0,430484.0,0.6034176159993014,0.99995345,191301.0,0.26815015247558616,"[3417.6, 3420.04, 3422.43]","[0.108906, 0.581631, 0.309416]"
13,11,"[1, 33, 11]",21.5,3,14421.799,30776.0,443847.0,0.622148329722566,0.99995345,191301.0,0.26815015247558616,"[3417.6, 3420.04, 3422.43]","[0.108906, 0.581631, 0.309416]"
2,12,"[10, 12]",61.0,2,10833.063,51774.0,560867.0,0.0,1.0,143657.0,0.0,"[3349.82, 3463.02]","[0.376088, 0.623912]"
14,12,"[10, 12, 34]",61.0,3,14457.866,51798.0,748892.0,0.0,1.0,191817.0,0.0,"[3345.21, 3458.08, 3461.09]","[0.3326, 0.164267, 0.503134]"
14,34,"[10, 12, 34]",62.5,3,14457.866,52461.0,758475.0,0.0,1.0,191817.0,0.0,"[3345.21, 3458.08, 3461.09]","[0.3326, 0.164267, 0.503134]"
13,35,"[1, 33, 11]",122.7,3,14421.799,73460.0,1059418.0,1.4850058514240074,0.99995345,191301.0,0.26815015247558616,"[3417.6, 3420.04, 3422.43]","[0.108906, 0.581631, 0.309416]"
117,87,"[115, 141, 87]",122.4,3,14660.413,73994.0,1084777.0,3.7234204718872284,0.99988414,196096.0,0.6730857765397755,"[3602.49, 3598.74, 3254.63]","[0.015181, 0.574505, 0.410198]"
119,87,"[115, 89, 143]",122.4,3,14999.142,74148.0,1112155.0,4.651364181531239,0.99985557,201045.0,0.840830923000327,"[3205.28, 3203.62, 3705.92]","[0.018837, 0.44165, 0.539369]"
144,114,"[114, 168, 142]",204.1,3,14786.867,95898.0,1418025.0,2.2183010460853447,0.99994674,198527.0,0.3105669029148656,"[3228.21, 3650.51, 3654.59]","[0.416139, 0.573398, 0.01041]"
146,114,"[142, 116, 170]",204.1,3,15192.777,96133.0,1460531.0,3.474938268997369,0.99991677,204477.0,0.4864988085937805,"[3182.91, 3181.47, 3764.06]","[0.014171, 0.447617, 0.538128]"
117,141,"[115, 141, 87]",306.0,3,14660.413,116988.0,1715098.0,5.8869495618662,0.99988414,196096.0,0.6730857765397754,"[3602.49, 3598.74, 3254.63]","[0.015181, 0.574505, 0.410198]"
117,89,"[115, 141, 87]",306.8,3,14660.413,117141.0,1717335.0,5.894627665596375,0.99988414,196096.0,0.6730857765397754,"[3602.49, 3598.74, 3254.63]","[0.015181, 0.574505, 0.410198]"
117,115,"[115, 141, 87]",307.8,3,14660.413,117333.0,1720153.0,5.9043008532329875,0.99988414,196096.0,0.6730857765397754,"[3602.49, 3598.74, 3254.63]","[0.015181, 0.574505, 0.410198]"
119,141,"[115, 89, 143]",306.0,3,14999.142,117232.0,1758384.0,7.354083842340435,0.99985557,201045.0,0.8408309230003269,"[3205.28, 3203.62, 3705.92]","[0.018837, 0.44165, 0.539369]"
119,89,"[115, 89, 143]",306.8,3,14999.142,117385.0,1760677.0,7.363675468358036,0.99985557,201045.0,0.840830923000327,"[3205.28, 3203.62, 3705.92]","[0.018837, 0.44165, 0.539369]"
171,141,"[141, 169, 195]",306.0,3,14942.036,117943.0,1762305.0,1.4030567036681694,0.99997261,201494.0,0.1604188214954663,"[3203.93, 3709.81, 3705.38]","[0.419087, 0.007523, 0.573363]"
119,115,"[115, 89, 143]",307.8,3,14999.142,117578.0,1763566.0,7.375759389267286,0.99985557,201045.0,0.8408309230003269,"[3205.28, 3203.62, 3705.92]","[0.018837, 0.44165, 0.539369]"
173,141,"[143, 169, 197]",306.0,3,15417.817,118276.0,1823565.0,2.6922141401397295,0.99994759,208498.0,0.30781494322041875,"[3161.35, 3162.6, 3825.6]","[0.45074, 0.011164, 0.538043]"
144,168,"[114, 168, 142]",428.0,3,14786.867,138876.0,2053547.0,3.2124852698952107,0.99994674,198527.0,0.31056690291486566,"[3228.21, 3650.51, 3654.59]","[0.416139, 0.573398, 0.01041]"
144,116,"[114, 168, 142]",429.0,3,14786.867,139042.0,2055998.0,3.216320229165411,0.99994674,198527.0,0.31056690291486566,"[3228.21, 3650.51, 3654.59]","[0.416139, 0.573398, 0.01041]"
144,142,"[114, 168, 142]",429.9,3,14786.867,139186.0,2058128.0,3.2196522705102537,0.99994674,198527.0,0.31056690291486555,"[3228.21, 3650.51, 3654.59]","[0.416139, 0.573398, 0.01041]"
146,168,"[142, 116, 170]",428.0,3,15192.777,139218.0,2115103.0,5.032314267104993,0.99991677,204477.0,0.48649880859378053,"[3182.91, 3181.47, 3764.06]","[0.014171, 0.447617, 0.538128]"
146,116,"[142, 116, 170]",429.0,3,15192.777,139384.0,2117628.0,5.038321678385613,0.99991677,204477.0,0.4864988085937805,"[3182.91, 3181.47, 3764.06]","[0.014171, 0.447617, 0.538128]"
146,142,"[142, 116, 170]",429.9,3,15192.777,139528.0,2119821.0,5.043541275610034,0.99991677,204477.0,0.4864988085937805,"[3182.91, 3181.47, 3764.06]","[0.014171, 0.447617, 0.538128]"
198,168,"[168, 196, 222]",428.0,3,15125.805,140196.0,2120571.0,0.9305143806026799,0.99998472,205006.0,0.08995744572268355,"[3181.74, 3768.3, 3763.5]","[0.42027, 0.005652, 0.574062]"
200,168,"[170, 196, 224]",428.0,3,15673.778,140645.0,2204438.0,2.1575793818351348,0.99996468,213114.0,0.20858391248946195,"[3143.23, 3144.3, 3890.73]","[0.45211, 0.009108, 0.538747]"
