s.id,s
323,"{gtot: 3, el_state: ""A1Piu"", Sigma: 0, tau: 0.000010616, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: 0.5, Omega: -1, v: 1, id: 323, Lambda: -1, energy: 9855.615736}"
324,"{gtot: 3, el_state: ""a3Piu"", Sigma: 0, tau: 2.1218, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: 0.8729, Omega: -1, v: 6, id: 324, Lambda: -1, energy: 9977.571116}"
325,"{gtot: 3, el_state: ""a3Piu"", Sigma: 1, tau: 2.1497, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: -0.3729, Omega: 0, v: 6, id: 325, Lambda: -1, energy: 9992.945996}"
326,"{gtot: 3, Sigma: -1, el_state: ""c3Sigmau+"", tau: 2.0902, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: 1.0011, Omega: -1, v: 1, id: 326, Lambda: 0, energy: 11312.046536}"
327,"{gtot: 3, el_state: ""A1Piu"", Sigma: 0, tau: 0.000008949, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: 0.5, Omega: -1, v: 2, id: 327, Lambda: -1, energy: 11415.41152}"
333,"{gtot: 3, Sigma: -1, el_state: ""c3Sigmau+"", tau: 0.28532, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: 1.0011, Omega: -1, v: 2, id: 333, Lambda: 0, energy: 13314.972976}"
337,"{gtot: 3, Sigma: -1, el_state: ""c3Sigmau+"", tau: 4.3369, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: 1.0011, Omega: -1, v: 3, id: 337, Lambda: 0, energy: 15287.933089}"
428,"{gtot: 5, el_state: ""X1Sigmag+"", Sigma: 0, tau: 10000, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 0, id: 428, Lambda: 0, energy: 10.874961}"
429,"{gtot: 5, el_state: ""X1Sigmag+"", Sigma: 0, tau: 1702.1, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 1, id: 429, Lambda: 0, energy: 1838.238745}"
430,"{gtot: 5, el_state: ""X1Sigmag+"", Sigma: 0, tau: 1079.8, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 2, id: 430, Lambda: 0, energy: 3637.327786}"
431,"{gtot: 5, el_state: ""X1Sigmag+"", Sigma: 0, tau: 13.319, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 3, id: 431, Lambda: 0, energy: 5407.217738}"
432,"{gtot: 5, el_state: ""b3Sigmag-"", Sigma: 1, tau: 0.000018121, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: 1.0012, Omega: 1, v: 0, id: 432, Lambda: 0, energy: 6250.324211}"
433,"{gtot: 5, el_state: ""b3Sigmag-"", Sigma: 0, tau: 0.000018138, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: -0.6674, Omega: 0, v: 0, id: 433, Lambda: 0, energy: 6265.177424}"
434,"{gtot: 5, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.64954, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 4, id: 434, Lambda: 0, energy: 7146.764074}"
435,"{gtot: 5, el_state: ""b3Sigmag-"", Sigma: 1, tau: 0.000014649, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: 1.0011, Omega: 1, v: 1, id: 435, Lambda: 0, energy: 7698.419624}"
436,"{gtot: 5, el_state: ""b3Sigmag-"", Sigma: 0, tau: 0.00001466, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: -0.6674, Omega: 0, v: 1, id: 436, Lambda: 0, energy: 7713.111279}"
437,"{gtot: 5, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.19239, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 5, id: 437, Lambda: 0, energy: 8854.4148}"
438,"{gtot: 5, el_state: ""b3Sigmag-"", Sigma: 1, tau: 0.000012416, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: 1.0011, Omega: 1, v: 2, id: 438, Lambda: 0, energy: 9124.347032}"
439,"{gtot: 5, el_state: ""b3Sigmag-"", Sigma: 0, tau: 0.000012426, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: -0.6674, Omega: 0, v: 2, id: 439, Lambda: 0, energy: 9138.873816}"
722,"{gtot: 5, el_state: ""A1Piu"", Sigma: 0, tau: 0.000013134, parity_rot: ""f"", J: 2, parity_tot: ""-"", gLande: 0.1667, Omega: -1, v: 0, id: 722, Lambda: -1, energy: 8278.035245}"
728,"{gtot: 5, el_state: ""A1Piu"", Sigma: 0, tau: 0.000010619, parity_rot: ""f"", J: 2, parity_tot: ""-"", gLande: 0.1667, Omega: -1, v: 1, id: 728, Lambda: -1, energy: 9861.977838}"
734,"{gtot: 5, el_state: ""A1Piu"", Sigma: 0, tau: 0.0000089518, parity_rot: ""f"", J: 2, parity_tot: ""-"", gLande: 0.1667, Omega: -1, v: 2, id: 734, Lambda: -1, energy: 11421.702805}"
1062,"{gtot: 7, el_state: ""A1Piu"", Sigma: 0, tau: 0.000013141, parity_rot: ""e"", J: 3, parity_tot: ""-"", gLande: 0.0833, Omega: -1, v: 0, id: 1062, Lambda: -1, energy: 8287.682253}"
1067,"{gtot: 7, el_state: ""A1Piu"", Sigma: 0, tau: 0.000010624, parity_rot: ""e"", J: 3, parity_tot: ""-"", gLande: 0.0833, Omega: -1, v: 1, id: 1067, Lambda: -1, energy: 9871.523736}"
1072,"{gtot: 7, el_state: ""A1Piu"", Sigma: 0, tau: 0.000008956, parity_rot: ""e"", J: 3, parity_tot: ""-"", gLande: 0.0833, Omega: -1, v: 2, id: 1072, Lambda: -1, energy: 11431.145164}"
1196,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 10000, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 0, id: 1196, Lambda: 0, energy: 36.212883}"
1197,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 1693.4, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 1, id: 1197, Lambda: 0, energy: 1863.33762}"
1198,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 1078.6, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 2, id: 1198, Lambda: 0, energy: 3662.164972}"
1199,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 13.113, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 3, id: 1199, Lambda: 0, energy: 5431.792252}"
1200,"{gtot: 9, el_state: ""b3Sigmag-"", Sigma: 1, tau: 0.000018137, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.5006, Omega: 1, v: 0, id: 1200, Lambda: 0, energy: 6265.213359}"
1201,"{gtot: 9, el_state: ""b3Sigmag-"", Sigma: 0, tau: 0.000018164, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: -0.4005, Omega: 0, v: 0, id: 1201, Lambda: 0, energy: 6292.019712}"
1202,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.64427, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 4, id: 1202, Lambda: 0, energy: 7171.064796}"
1203,"{gtot: 9, el_state: ""b3Sigmag-"", Sigma: 1, tau: 0.00001466, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.5006, Omega: 1, v: 1, id: 1203, Lambda: 0, energy: 7713.145796}"
1204,"{gtot: 9, el_state: ""b3Sigmag-"", Sigma: 0, tau: 0.00001468, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: -0.4005, Omega: 0, v: 1, id: 1204, Lambda: 0, energy: 7739.658446}"
1205,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.18807, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 5, id: 1205, Lambda: 0, energy: 8878.433209}"
1206,"{gtot: 9, el_state: ""b3Sigmag-"", Sigma: 1, tau: 0.000012425, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.5006, Omega: 1, v: 2, id: 1206, Lambda: 0, energy: 9138.910674}"
1207,"{gtot: 9, el_state: ""b3Sigmag-"", Sigma: 0, tau: 0.000012441, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: -0.4005, Omega: 0, v: 2, id: 1207, Lambda: 0, energy: 9165.12887}"
1208,"{gtot: 9, el_state: ""b3Sigmag-"", Sigma: 1, tau: 0.000010927, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.4979, Omega: 1, v: 3, id: 1208, Lambda: 0, energy: 10542.533739}"
1209,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.0015322, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0019, Omega: 0, v: 6, id: 1209, Lambda: 0, energy: 10551.846376}"
1210,"{gtot: 9, el_state: ""b3Sigmag-"", Sigma: 0, tau: 0.000010908, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: -0.3997, Omega: 0, v: 3, id: 1210, Lambda: 0, energy: 10568.524133}"
1214,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 1.6515, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 7, id: 1214, Lambda: 0, energy: 12188.401431}"
1218,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.4745, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 8, id: 1218, Lambda: 0, energy: 13784.353925}"
1223,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.28261, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 9, id: 1223, Lambda: 0, energy: 15335.336313}"
1228,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.18062, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 10, id: 1228, Lambda: 0, energy: 16828.172099}"
1233,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.1264, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 11, id: 1233, Lambda: 0, energy: 18259.702323}"
1238,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.10391, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 12, id: 1238, Lambda: 0, energy: 19622.616607}"
1246,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.073757, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 13, id: 1246, Lambda: 0, energy: 20918.895263}"
1253,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.029944, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 14, id: 1253, Lambda: 0, energy: 22157.128192}"
1258,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.019212, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 15, id: 1258, Lambda: 0, energy: 23346.477041}"
1266,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.022303, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 16, id: 1266, Lambda: 0, energy: 24493.718286}"
1279,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.027658, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 18, id: 1279, Lambda: 0, energy: 26679.790217}"
1287,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.026845, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 19, id: 1287, Lambda: 0, energy: 27724.464291}"
