s.id,s
428,"{gtot: 5, el_state: ""X1Sigmag+"", Sigma: 0, tau: 10000, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 0, id: 428, Lambda: 0, energy: 10.874961}"
429,"{gtot: 5, el_state: ""X1Sigmag+"", Sigma: 0, tau: 1702.1, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 1, id: 429, Lambda: 0, energy: 1838.238745}"
430,"{gtot: 5, el_state: ""X1Sigmag+"", Sigma: 0, tau: 1079.8, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 2, id: 430, Lambda: 0, energy: 3637.327786}"
431,"{gtot: 5, el_state: ""X1Sigmag+"", Sigma: 0, tau: 13.319, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 3, id: 431, Lambda: 0, energy: 5407.217738}"
434,"{gtot: 5, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.64954, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 4, id: 434, Lambda: 0, energy: 7146.764074}"
722,"{gtot: 5, el_state: ""A1Piu"", Sigma: 0, tau: 0.000013134, parity_rot: ""f"", J: 2, parity_tot: ""-"", gLande: 0.1667, Omega: -1, v: 0, id: 722, Lambda: -1, energy: 8278.035245}"
728,"{gtot: 5, el_state: ""A1Piu"", Sigma: 0, tau: 0.000010619, parity_rot: ""f"", J: 2, parity_tot: ""-"", gLande: 0.1667, Omega: -1, v: 1, id: 728, Lambda: -1, energy: 9861.977838}"
1196,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 10000, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 0, id: 1196, Lambda: 0, energy: 36.212883}"
1197,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 1693.4, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 1, id: 1197, Lambda: 0, energy: 1863.33762}"
1198,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 1078.6, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 2, id: 1198, Lambda: 0, energy: 3662.164972}"
1199,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 13.113, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 3, id: 1199, Lambda: 0, energy: 5431.792252}"
1202,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.64427, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 4, id: 1202, Lambda: 0, energy: 7171.064796}"
1490,"{gtot: 9, el_state: ""A1Piu"", Sigma: 0, tau: 0.00001315, parity_rot: ""f"", J: 4, parity_tot: ""-"", gLande: 0.05, Omega: -1, v: 0, id: 1490, Lambda: -1, energy: 8300.549519}"
1496,"{gtot: 9, el_state: ""A1Piu"", Sigma: 0, tau: 0.000010632, parity_rot: ""f"", J: 4, parity_tot: ""-"", gLande: 0.05, Omega: -1, v: 1, id: 1496, Lambda: -1, energy: 9884.25433}"
1964,"{gtot: 13, el_state: ""X1Sigmag+"", Sigma: 0, tau: 10000, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 0, id: 1964, Lambda: 0, energy: 76.049252}"
1965,"{gtot: 13, el_state: ""X1Sigmag+"", Sigma: 0, tau: 1679.8, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 1, id: 1965, Lambda: 0, energy: 1902.771206}"
1966,"{gtot: 13, el_state: ""X1Sigmag+"", Sigma: 0, tau: 1076.6, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 2, id: 1966, Lambda: 0, energy: 3701.191165}"
1967,"{gtot: 13, el_state: ""X1Sigmag+"", Sigma: 0, tau: 12.794, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 3, id: 1967, Lambda: 0, energy: 5470.401987}"
1970,"{gtot: 13, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.63587, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 4, id: 1970, Lambda: 0, energy: 7209.244547}"
